,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
11,,"raida do","2023-01-01 02:16:55",3,no,no,"Looking at this after watching Ironheart, Tony can be likened to building a NASA-level spaceship, and that woman seems to be building a spaceship Lego.",UC6w7UImeqGmg9I8l409cjaA,UgyX_pYjxcgW41GlYHh4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgyX_pYjxcgW41GlYHh4AaABAg
12,,"Amato Yoichi","2023-01-02 20:38:32",1,no,no,"Back then when he make the suit fly",UCAhRS6S6pQcBGR0Q3UmDsww,UgwMVHTq8xnDB3KdbFJ4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwMVHTq8xnDB3KdbFJ4AaABAg
13,,"Extremely vivid Cardgames","2023-01-04 02:27:51",1,no,no,"It's crazy how ancient his holographic technology looks compared to now in the MCU",UC3Th9KKExRPyrDdQtZq-2ig,UgwRHNfA3XQHBCB5Cut4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwRHNfA3XQHBCB5Cut4AaABAg
14,,"J M","2023-01-04 19:25:51",7,no,no,"I was 7 years old when this movie came out. And while my love for iron man has faded. 15 years later 2:02 is still seared into my brain. When I think of the MCU and watching it throughout my childhood this is the image I think of. And how young me thought it was the coolest thing I had ever seen. Everything from the visuals to the music is perfect.",UC2b_5BUh8Vnh1AoxhQSmPIw,UgwUxRfDGp0LX6Mc6rp4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwUxRfDGp0LX6Mc6rp4AaABAg
15,,"kyle harry","2023-01-04 23:12:37",1,no,no,"Screw it dont even move. You are a tragedy.",UCW9eaz-0GTkMFFk0q7IBNVQ,UgzELwUiPZTKq7k-Wdh4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzELwUiPZTKq7k-Wdh4AaABAg
16,,Main,"2023-01-07 13:27:13",0,no,no,"This, is cinema.",UCDLcHt30hKAmJ61otNQwiYw,UgyoF0JQHtorCpdV9dx4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgyoF0JQHtorCpdV9dx4AaABAg
17,,"JK ARUSH","2023-01-07 16:16:04",0,no,no,"🤣🤣🤣🤣 bhai jb iron man gira to bhai maza aa gaya",UCFPWh6VuMGtZgILNbA6qsSg,UgziQzJecM-Z7kC7kZ14AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgziQzJecM-Z7kC7kZ14AaABAg
18,,"Mega Sean","2023-01-09 19:46:46",3,no,no,"Can’t imagine anyone else playing Tony Stark than Robert Downey Jr. Guy does an amazing job as the smartest guy on Earth.",UC36Vq91h4BP6rlvZkNlE4fw,UgzC89iIGwcSkNjXsnN4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzC89iIGwcSkNjXsnN4AaABAg
19,,FaithPvP,"2023-01-11 18:56:19",0,no,no,"60fps movies look like utter crap.  You and your entire generation should feel ashamed.",UCnirtOgN-moXlNd7pIHspWA,UgwO_AF4owTl3vF_YiJ4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwO_AF4owTl3vF_YiJ4AaABAg
20,,"yunan the observer","2023-01-14 06:50:07",3,no,no,"I really like the heroes that; instead of having powers, they build their equipment. It spoke of genius, hard-work and perseverance. The physical manifestation of Edison's: ""I will not say i failed a 1000 times, I will say i have discovered a 1000 ways that can cause failure.""",UCLbaWI6WcS9pXAlBj2Jzeyg,UgzkGDrbt6E1Rsbhc2p4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzkGDrbt6E1Rsbhc2p4AaABAg
21,,"AHMED HABEEBAT","2023-01-14 16:58:18",0,no,no,"Pls I need All instructions",UCJP_8GMkt58nNof-_4clBVQ,UgzZoFal6AchiVBpCKl4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzZoFal6AchiVBpCKl4AaABAg
22,,"Lightning First","2023-01-18 06:49:30",1,no,no,#JusticeForDummy,UCV7NImvtak_8-O1UuqPrFxw,UgxemL1mgx0wnipZqFl4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgxemL1mgx0wnipZqFl4AaABAg
23,,"Jacapo pol","2023-01-18 12:29:21",0,no,no,"60FPS is not made for film, this is why it seems weird, films are supposed to be 24 FPS for the cinematic look, leave the 60FPS for the gamers buddy",UClBOqne2wB_UmRsUp13dL7g,UgxJIVrhKP1O16CAvMR4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgxJIVrhKP1O16CAvMR4AaABAg
24,,"Destiny 2.0","2023-01-18 16:11:09",0,no,no,"This Is The Only Suit We See He Tested Not Other Suits That We Dont See He Tested Before He Use It",UCW-FcPXO4Ia5dDq1TkaR9dg,UgylrbgEx4l_dx6E4_J4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgylrbgEx4l_dx6E4_J4AaABAg
25,,"MATTHEW EDWARDS","2023-01-18 20:43:11",0,no,no,"IRON MAN 2008",UCZlhgxfo-XKqiYY18QGW18A,UgyyA4m9PWuK2cNlbd94AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgyyA4m9PWuK2cNlbd94AaABAg
26,,"Marian Hoban","2023-01-19 10:50:29",0,no,no,"IF! u Have THAT! SUITE!send THEM! T0! Romània!'",UCQpp5crG3czcQkYi8AfjlqA,UgzcDVyPUA2XKImcJAR4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzcDVyPUA2XKImcJAR4AaABAg
27,,"Daniel Carabott","2023-01-20 08:26:53",1,no,no,"I don't know what's funnier: Tony catapulting face first into the ceiling, or DUMMY using the fire extinguisher on him.",UCY06THPoMNW8nhroiwO4gig,Ugyk-WKi0cgazwDWOA54AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugyk-WKi0cgazwDWOA54AaABAg
28,,"Marian Hoban","2023-01-20 10:05:52",0,no,no,"U! Leave!",UCQpp5crG3czcQkYi8AfjlqA,Ugx-6D5_aGWp9OUGUsZ4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugx-6D5_aGWp9OUGUsZ4AaABAg
29,,Anomaleph,"2023-01-25 10:19:27",3,no,no,"This video itself is the epitome of ""Tony Stark learns from his mistake""",UCcXxrGvWsV0NB_RfjSGhPdA,Ugy8kwkJd8F2hljW8I94AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugy8kwkJd8F2hljW8I94AaABAg
30,,"Pushpendra Singh","2023-01-26 12:37:13",0,no,no,"Mushe bhi banana hai",UCcWDC1ISrMjb3EaAyitNxTw,UgyCwNHNCWoS70yJPRB4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgyCwNHNCWoS70yJPRB4AaABAg
31,,"Adam Sunday","2023-01-28 08:43:37",1,no,no,"1:49 This part gets me every single time! 🤣",UCD6DNWiWoSZVGiHuc6hV0Yw,UgynC0e4F3OjPhSranl4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgynC0e4F3OjPhSranl4AaABAg
32,,"Dat Boi","2023-02-01 05:11:15",0,no,no,"We went from this to diversity wahmen building something because... reasons! How the mighty have fallen...",UC1wvghsbh3ZKlODXhf2q4sQ,UgzM_sbM5zVYsoUCE0d4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzM_sbM5zVYsoUCE0d4AaABAg
33,,MrSnip07,"2023-02-02 07:48:00",0,no,no,"when he clicks at 0:15. its same sound as steam notificaiton",UCkxlytuy1Dq7uBY6rQoQlQw,Ugw8h4jkrmakxYCH_4t4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugw8h4jkrmakxYCH_4t4AaABAg
34,,"Fariha 2 Rahman 7","2023-02-03 02:06:27",0,no,no,"What exactly do i have to do become a genius like tony stark?? If anyone knows please let me know 😅🤨",UCT8RY3xhSqR9q0mNe5MN44w,UgyMTePxiruNWeA7GKJ4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgyMTePxiruNWeA7GKJ4AaABAg
35,,"Kevin Ng","2023-02-04 07:52:50",0,no,no,"Why can’t he use a normal keyboard 0:01",UCzL2ULasg0T54XAfjQ8zKsw,UgwM0YljtPgRW3ZUOdh4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwM0YljtPgRW3ZUOdh4AaABAg
36,,"TÂN TNTzzz","2023-02-07 09:29:11",0,no,no,"Anh ơi . Những thứ lắp trong máy đó. Mình cắt để có phụ kiện nhỏ. Cách để không còn vết nứt giáp ở giữa các khe để có mảnh giáp nhỏ",UCvuBDihP5yudc8XuFXy4BBA,Ugyw3kmdCsdn1gPaGlR4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugyw3kmdCsdn1gPaGlR4AaABAg
37,,"TÂN TNTzzz","2023-02-07 09:55:44",0,no,no,"Sự không hoàn hảo từ những mãnh ghép có số đo khác nhau sẽ khiến cho các khớp không bị trượt",UCvuBDihP5yudc8XuFXy4BBA,UgzHNCbhaPUi3msooed4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzHNCbhaPUi3msooed4AaABAg
38,,"Joseph Bonczyk","2023-02-08 00:59:55",0,no,no,"How we laughed our lungs off in the movie theater when he hit the wall! 😂",UCopUKBE5cSCn9XWRmOmlwaQ,UgzIkrom1N2lde3lCgR4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzIkrom1N2lde3lCgR4AaABAg
39,,"Alb Lar","2023-02-09 19:23:13",0,no,no,"MCU BEFORE WOKE WRITERS TOOK OVER",UCQjLDHBJSwjm_WgATBn7-RQ,UgzkOE_quIBja9qr6AR4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzkOE_quIBja9qr6AR4AaABAg
40,,"Leonardo Klotz","2023-02-11 07:48:31",0,no,no,"Back when less was more

Now everything is overblown with CGI and memes",UCZufvd7azHn4KpQC4GzcKwg,UgzPy4nb5DETfPP2Ks94AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzPy4nb5DETfPP2Ks94AaABAg
41,,"GasFromMyAnus I0I","2023-02-12 01:06:06",0,no,no,"robot: ""I'm alive, master what is my purpose?''
Rick: ''you hold the magnifying glass''
robot: ""oh my god...'''",UCSyaUpPGeWcTnU3JgP3lg6g,UgzO7tQXDf-pR6NCa1R4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzO7tQXDf-pR6NCa1R4AaABAg
42,,"Shaithis 1969","2023-02-12 06:17:19",0,no,no,"It's the little things, but i know of no one who blows on a soldering iron after they have used it.",UCpoBD_7EhvzzK19ind4Cplg,UgwKunnCpFCdIncdwoN4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwKunnCpFCdIncdwoN4AaABAg
43,,MexeM,"2023-02-13 07:36:49",0,no,no,"Tony Stark was not wasting time on twitter",UCluw-6IB72VozcerBD41-zA,UgwvGWGpPmfyx55z2QV4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwvGWGpPmfyx55z2QV4AaABAg
44,,"JT Feria.  Vampire.  Tiffany","2023-02-13 22:42:53",0,no,no,"Hidsukjchxzckjbxjc bhc nj XZ jckhnxzcjkasbxzjckasxzbcajksbcascccbsdcvsvjksvshvdsiuvjkshvckjshcsdjkhcsidfjkhcdsjkhcksnsdkjnjkbvskdjn v sm,nxckv klcxnvksnckxnk jvsknvjksdn xvjkvdnvjkcxnvvnxcvm,nxc kjn ncxvm,xcncxvklcxlljxcnklmcxv lkmcxvlmvlxmdl;VJ mv lam;v sd l;cmkkcvl sdnkclxvklmxvcxmmxcvlxcmvlcxmvlcmxvlsmkvdmslkmkldvlmvlkkxlnxcvkxcmvxkcmxvlkmxvsdlmdlsvf;",UCUHcNg5HhPFaRabLR8nEVGQ,Ugx8NlCDl8YacqIOMRZ4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugx8NlCDl8YacqIOMRZ4AaABAg
45,,"Batu Han","2023-02-14 09:20:46",1,no,no,"New PC build im:",UCpftvw6PCtweDeKCYoiUauw,UgxB3iVrSiAOQv4iSJV4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgxB3iVrSiAOQv4iSJV4AaABAg
46,,"José Martín Campero Cejas","2023-02-14 21:36:05",2,no,no,"Esta escena me engancha tanto, porque te motiva a que des forma a tu idea (Un negocio, tu auto, a arreglar algo, a hacer una base de datos, etc) porque ves la recompensa cuando lo consigues y por eso creo que mas de uno vuelve a ver esta pelicula porque te motiva a que des forma a esa idea",UCdoK-m2Wx0Kq5f9w07fzn8w,UgzaQYoEq3QhypFN3et4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzaQYoEq3QhypFN3et4AaABAg
47,,"Felix Y","2023-02-16 13:27:42",0,no,no,"Tony's computer in 2008 still 5 step ahead than today's computer",UCp8Vpkt8lNCcgl6W9eRqhWA,UgxFBpocZNP-7BleoJ94AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgxFBpocZNP-7BleoJ94AaABAg
48,,"Ryley Hayes","2023-02-17 02:23:22",0,no,no,"Writing code with the help of ChatGPT",UCTFOELnM15Mbegw2LPnDXEw,Ugx9g0veyyBJAX9ADwh4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugx9g0veyyBJAX9ADwh4AaABAg
49,,photondebuger45,"2023-02-17 09:36:01",0,no,no,"His small ""i didn't expect that"" looool it's always so funny",UCQOVW3qYrGL2A8EpznoNivQ,Ugx0se3052cT-Q5kse54AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugx0se3052cT-Q5kse54AaABAg
50,,"Caleb Soria","2023-02-17 15:41:38",0,no,no,"This man was in just the mechanic for the suit. He was the mechanic for the entire Marvel cinematic universe. That movie itself is the reason why we get to have so many marvel movies. If it wasn’t for Tony, we wouldn’t be having all this if it wasn’t for Robert Downey Jr., is this all will never happen.",UClged5eGwKOssQ5YQRFXNlw,UgzNaFL64R1dLlf8QKp4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzNaFL64R1dLlf8QKp4AaABAg
51,,"Kishvi Studio","2023-02-18 05:54:45",2,no,no,"mark II will always be in our heart every marvel fan knows",UCN_8yppNl-pJCYP47Vgo34g,Ugy_DipgpWP9f5m-DVV4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugy_DipgpWP9f5m-DVV4AaABAg
52,,"Karthik Subramanian","2023-02-18 07:18:56",2,no,no,"This scene was not only Ironman building his first suit of advanced armor..but laying the foundation for the biggest franchise that goes for the next 10 years...",UCDiw-BI8w9r_O3dY0d8doWA,Ugxnu8upAX5ybwlD9F54AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugxnu8upAX5ybwlD9F54AaABAg
53,,"Daniel Vargas","2023-02-20 02:01:53",2,no,no,"Marvel movies aren't the same without iron man, holy shit they dropped like its hot",UCNb0AKMbSxZ6FIMoqajpIMw,UgzEgyxt70hMja0hcKJ4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzEgyxt70hMja0hcKJ4AaABAg
54,,"Mr JK","2023-02-23 13:14:42",0,no,no,"""If my math is correct, and it always is..."" proceeds to launch himself into the wall twice beta testing.",UCi1bnPjUgY8dQgje5WV1CdA,Ugz9FgiWT3iyeHPZ-3h4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugz9FgiWT3iyeHPZ-3h4AaABAg
55,,Mgkbluebook,"2023-02-23 15:19:45",0,no,no,"2:47 that should’ve burned the skin off his hand",UCvMk1rZnj4utWJxEpksb-Hw,Ugwqpiy-J0YI-bCjPSp4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugwqpiy-J0YI-bCjPSp4AaABAg
56,,"Juan Bernardo Hernandez Urbina","2023-02-24 23:28:47",1,no,no,"Me gustan tus películas 💖🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗😚🤗🤗🤗",UCT2j1w4agDkYtI1U1XJBpnA,UgynWonQakxPwNjBMf54AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgynWonQakxPwNjBMf54AaABAg
57,,Don-Noppadon,"2023-02-25 05:57:13",0,no,no,มันต้องห้องคอนโทรนแบบนี้ก่อนหึถึงจะสมอ่ะ,UCF9DO9z95WV_TlJNL_4IkvA,UgysyKFJOvwC4H6t_Vx4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgysyKFJOvwC4H6t_Vx4AaABAg
58,,Don-Noppadon,"2023-02-25 05:57:50",0,no,no,"ใช่.นี้มันของจริง😅😂😂

ไม่ใช่กราฟฟิคหึ5 5",UCF9DO9z95WV_TlJNL_4IkvA,Ugz1hu_thkR1Yd5EuwB4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugz1hu_thkR1Yd5EuwB4AaABAg
59,,"Bread Toasted","2023-02-25 23:38:46",0,no,no,"I forget sometimes he has to sit there for hours to build a hand or a foot. Also programs.. 😮",UCHh3nZRCH6ezzhlUC5xM-Vw,UgzhxZBPMfGrRtN9MAR4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzhxZBPMfGrRtN9MAR4AaABAg
60,,"Saif Wasim","2023-02-28 21:29:26",1,no,no,"Who's here to remind themselves where the MCU started off? God how times have changed!!",UCrTgrgxYF06-JguK98t_BJQ,UgzcW-M52JrqXz8Nftd4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzcW-M52JrqXz8Nftd4AaABAg
61,,"Ciro Garcia","2023-03-01 04:34:02",0,no,no,"Back when the mcu was good and had interesting and gritty stories to tell",UCAb_y3MJYvbAGeQKxc_26RQ,UgxvcTDiM5w53hjuxHZ4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgxvcTDiM5w53hjuxHZ4AaABAg
62,,"Tristan Daries","2023-03-01 16:41:54",0,no,no,"As an engineering student, I always love the cheesy building scenes in movies like this",UC5hlc3SRPXPqd4iRJ1pXqqw,UgwKbemZX_wYKhf9gaJ4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwKbemZX_wYKhf9gaJ4AaABAg
63,,"asel qurbanzade","2023-03-01 17:18:17",0,no,no,Yyykjgp8p,UCK00TN53nSWESC0DohhA4lw,Ugy0kixBqxhjAkViURV4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugy0kixBqxhjAkViURV4AaABAg
64,,"new song 2022","2023-03-02 10:57:49",0,no,no,"What real fliying iron man suit  real life real fliy",UCgiNXfjYT1UDWV6t2PXWZjQ,UgzRE4GWm7_V6WuUs3J4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzRE4GWm7_V6WuUs3J4AaABAg
65,,"new song 2022","2023-03-02 10:58:56",0,no,no,"The real fliying iron man suit price",UCgiNXfjYT1UDWV6t2PXWZjQ,Ugy22aoBC2MfU3dSZ814AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugy22aoBC2MfU3dSZ814AaABAg
66,,ssj2camaro21,"2023-03-03 04:27:02",0,no,no,"That slam into the wall should have killed him instantly",UCkD79ByyMNdY22oM8FOHq6w,UgytA0ogAEoDt3-2vk94AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgytA0ogAEoDt3-2vk94AaABAg
67,,Silkl4sh,"2023-03-06 05:20:33",0,no,no,"Now literally every female character is over the top smart in MCU making tony look like an idiot. How fall from grace have they fallen?",UCdvpfSv3R56GWU8Od0v6-Nw,UgyvBfytrx_sGVJKaLV4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgyvBfytrx_sGVJKaLV4AaABAg
68,,"Siddharth Sen","2023-03-06 20:37:48",0,no,no,"This scene alone inspired me to be a mechanical engineer.",UCsS95gwZuC4TYd--LvnNxIQ,UgxhkIC-mNl7idVParF4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgxhkIC-mNl7idVParF4AaABAg
69,,"TOP SALEHKO","2023-03-06 21:39:27",0,no,no,"🌍👤🌏🤍🤍🤍🌍🤍🌏🤍🌎🤍🤍🤍🌎
🫵🫵🌟🌟👍🌟🌟🫵🫵✌️💯🎶🎶🎶🎶🎶🎶🫸👉👆😌✅️",UCdaNPbyZk-dFaF9Bs90VRNQ,UgwmSG3jslHkj_Gj84B4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwmSG3jslHkj_Gj84B4AaABAg
70,,"Jordan Harrell","2023-03-08 05:12:22",0,no,no,"Tony Stark- **builds a hand sized nuclear reactor in a cave with scraps**

Also Tony Stark- **forgets Newton’s third law is a thing, launches himself into a wall twice because he didn’t think to have his super computer calculate the amount of thrust his repulsers are capable of producing. 😂**",UCJDBm08MezJVp7KYM0ROdBw,UgzLk6s_jjgBZPgedKl4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzLk6s_jjgBZPgedKl4AaABAg
71,,Arcilios,"2023-03-09 09:14:39",1,no,no,"She liked it too",UCdlcq2UnecMzEucw-1utjIQ,UgzwKkziuWZXmDr9cqx4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgzwKkziuWZXmDr9cqx4AaABAg
72,,SomeRandomIdiot,"2023-03-10 12:39:43",3,no,no,"The thing I love about Iron Man 1 was that we saw a character who is a engineer actually being an engineer. As in:
 - Having a rough idea of something and trying it, seeing it worked somewhat, kinda, and realising it could be much better if he did a proper version of it (Mk1 Suit)
 - Designing a new version piece by piece and experimenting
 - Making mistakes and discovering things working better or worse than he expected
 - Spending time actually doing the work, sitting around coding, designing, welding, soldering, wiring, etc
 - Taking the final version for a test run, encountering some 'bugs' and making adjustments based on that
This is actual engineering, this is what an actual engineer does. It might be amped up to fantasy superhero level, but this is actual engineering.",UCwx08X9BZL3wzrzG1aNTodg,UgyXHJqXV8sRjgGczj14AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgyXHJqXV8sRjgGczj14AaABAg
73,,"Redn 2000","2023-03-10 23:02:24",0,no,no,"Remember when Marvel films were good?",UC04V9jnGaRAeBhqq8tTUNBg,UgwTv5c0_Qnrp-Mmp6x4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwTv5c0_Qnrp-Mmp6x4AaABAg
74,,Catalogue28,"2023-03-13 20:55:29",0,no,no,"1 like = 1 respect for DUM-E",UCmCHo22XuWbTgxexv6BjrYA,UgxazHk51z8vMvNceaV4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgxazHk51z8vMvNceaV4AaABAg
75,,"Kevin Katz","2023-03-15 00:37:37",0,no,no,"When Tony Stark is working on a mechanical boot with a solder iron, you know you're in hollywood...",UCo24BzelvEwDGk661B3sX7A,Ugz4qBFLcikQocS-9n54AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugz4qBFLcikQocS-9n54AaABAg
76,,WolfXiang,"2023-03-17 13:26:00",1,no,no,"2:45 And that's how a repulser was made.",UCNyVXeyQHqgIX8Epc2Y9O7A,Ugw2xLy-ej__FHrHwpF4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugw2xLy-ej__FHrHwpF4AaABAg
77,,laert,"2023-03-19 11:26:43",1,no,no,"imagine his daughter watching it",UC1KqnCetQrZZ8mivyHsEwqw,UgxK5SjKD5UcLMxFjcV4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgxK5SjKD5UcLMxFjcV4AaABAg
78,,"Md alal Khan","2023-03-20 11:39:20",0,no,no,"Mere boss",UC8aukpO8y96xZ_3yCYl3FYg,Ugx1No90s2M_K33eSxt4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=Ugx1No90s2M_K33eSxt4AaABAg
79,,"Md alal Khan","2023-03-20 11:39:55",0,no,no,*,UC8aukpO8y96xZ_3yCYl3FYg,UgwLvkfAiwwbjRwIBxd4AaABAg,https://www.youtube.com/watch?v=WNu6fRo_7fg&lc=UgwLvkfAiwwbjRwIBxd4AaABAg
